Subject,Group,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Acc,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,musicaltraining,Gender,Assign
S01,native,1860.5,Tone 3,loud007_五-u-Tone_3.mp3,speaker007,五,u,Tone 3,loud,1,10,0.01361973,-0.279186217,0.698071878,2.096180256,1.507279792,0.492,206.0618973,0,0,1
S01,native,1741.7,Tone 2,loud008_鱼-y-Tone_2.mp3,speaker008,鱼,y,Tone 2,loud,1,12,0.005364337,-0.085249935,1.487226429,4.751297794,3.215954641,0.413,155.034475,0,0,0
S01,native,1450.5,Tone 3,loud008_五-u-Tone_3.mp3,speaker008,五,u,Tone 3,loud,1,12,0.005364337,-0.085249935,1.618878565,4.648964494,2.864499243,0.479,152.1086035,0,0,1
S01,native,2093.1,Tone 3,loud007_渴-e-Tone_3.mp3,speaker007,渴,e,Tone 3,loud,1,11,0.026350792,-0.478999168,0.671629003,2.325766724,1.832185072,0.482,232.122232,0,0,1
S01,native,1329.3,Tone 2,loud007_敌-i-Tone_2.mp3,speaker007,敌,i,Tone 2,loud,1,10,0.026350792,-0.478999168,0.366873453,3.899269795,2.22090849,0.377,248.3487546,0,0,0
S01,native,1263.2,Tone 2,loud008_无-u-Tone_2.mp3,speaker008,无,u,Tone 2,loud,1,1,0.005364337,-0.085249935,1.659860774,5,2.755094117,0.449,151.4347048,0,0,0
S01,native,1290.1,Tone 3,loud007_把-a-Tone_3.mp3,speaker007,把,a,Tone 3,loud,1,10,0.026350792,-0.478999168,1.078783646,2.643467232,1.312849019,0.484,204.1320785,0,0,1
S01,native,2601.7,Tone 2,loud008_咳-e-Tone_2.mp3,speaker008,咳,e,Tone 2,loud,1,8,0.01361973,-0.279186217,1.385862807,4.15481596,2.620179006,0.334,142.8702036,0,0,0
S01,native,2618.7,Tone 2,loud008_拔-a-Tone_2.mp3,speaker008,拔,a,Tone 2,loud,1,13,0.01361973,-0.279186217,1.564376607,2.255795584,2.143622829,0.354,145.986001,0,0,0
S01,native,2157.3,Tone 3,loud008_雨-y-Tone_3.mp3,speaker008,雨,y,Tone 3,loud,1,9,0.005364337,-0.085249935,1.739556746,4.044563818,2.542339654,0.417,141.4917697,0,0,1
S01,native,1042.6,Tone 2,loud006_鱼-y-Tone_2.mp3,speaker006,鱼,y,Tone 2,loud,1,1,0.007692007,-0.076756371,-0.520728645,5,2.142225713,0.617,337.0239616,0,0,0
S01,native,1718.2,Tone 3,loud008_底-i-Tone_3.mp3,speaker008,底,i,Tone 3,loud,1,10,0.01361973,-0.279186217,1.592242674,2.990855764,2.069232244,0.481,128.03104,0,0,1
