Subject,RT,Response,Audio,Speaker,Word,Vowel,Tone,Mode,Group,Location,QuadraticTerm,LinearTerm,DF,Endingpoint,Tvalue_min,Duration,Mean_F0,Length,HSKlevel,Gender,Assign
S06,4696,Tone 2,loud001_渴-e-Tone_3.mp3,speaker001,渴,e,Tone 3,loud,learner,11,0.010180158,-0.216025447,1.211727019,2.131775634,0.889069238,0.444,193.2798475,6,5,0,0
S06,2499,Tone 2,loud001_咳-e-Tone_2.mp3,speaker001,咳,e,Tone 2,loud,learner,6,0.010180158,-0.216025447,0.284903617,2.581682878,1.815892641,0.207,242.0103733,6,5,0,0
S06,2047,Tone 3,loud003_渴-e-Tone_3.mp3,speaker003,渴,e,Tone 3,loud,learner,11,0.018803786,-0.378383701,0.307469383,3.177107236,1.732225646,0.493,278.2104,6,5,0,1
S06,2290,Tone 2,loud003_敌-i-Tone_2.mp3,speaker003,敌,i,Tone 2,loud,learner,1,0.018803786,-0.378383701,-0.794114351,3.550429734,2.608788893,0.343,377.1531531,6,5,0,0
S06,4229,Tone 2,loud003_把-a-Tone_3.mp3,speaker003,把,a,Tone 3,loud,learner,12,0.018803786,-0.378383701,-0.008691605,2.865974594,1.983804435,0.431,276.0738281,6,5,0,0
S06,3422,Tone 3,loud006_底-i-Tone_3.mp3,speaker006,底,i,Tone 3,loud,learner,11,0.007692007,-0.076756371,-0.188893029,3.064266083,1.812518129,0.506,257.1699355,6,5,0,1
S06,1292,Tone 2,loud006_咳-e-Tone_2.mp3,speaker006,咳,e,Tone 2,loud,learner,7,0.007692007,-0.076756371,-0.971752897,4.470617768,2.590357588,0.443,336.8438475,6,5,0,0
S06,1463,Tone 2,loud001_敌-i-Tone_2.mp3,speaker001,敌,i,Tone 2,loud,learner,6,0.010180158,-0.216025447,0.260042792,2.925140355,1.840753465,0.251,258.5195128,6,5,0,0
S06,3039,Tone 2,loud003_底-i-Tone_3.mp3,speaker003,底,i,Tone 3,loud,learner,11,0.018803786,-0.378383701,-0.680887818,3.722873782,2.518691142,0.504,350.7695259,6,5,0,0
S06,2185,Tone 3,loud007_渴-e-Tone_3.mp3,speaker007,渴,e,Tone 3,loud,learner,11,0.026350792,-0.478999168,0.671629003,2.325766724,1.832185072,0.482,232.122232,6,5,0,1
S06,1438,Tone 2,loud007_咳-e-Tone_2.mp3,speaker007,咳,e,Tone 2,loud,learner,7,0.026350792,-0.478999168,0.059689366,3.80656463,2.612729568,0.378,272.6705882,6,5,0,0
S06,3014,Tone 3,loud007_雨-y-Tone_3.mp3,speaker007,雨,y,Tone 3,loud,learner,9,0.01361973,-0.279186217,0.609867505,2.231175071,1.619786702,0.571,220.8751402,6,5,0,1
S06,1687,Tone 2,loud006_无-u-Tone_2.mp3,speaker006,无,u,Tone 2,loud,learner,1,0.007692007,-0.076756371,-0.965820046,4.191130713,2.584462783,0.415,326.903639,6,5,0,0
S06,2277,Tone 2,loud008_敌-i-Tone_2.mp3,speaker008,敌,i,Tone 2,loud,learner,5,0.01361973,-0.279186217,1.106782236,4.567791805,3.36520583,0.348,164.1790465,6,5,0,0
S06,6310,Tone 2,loud006_渴-e-Tone_3.mp3,speaker006,渴,e,Tone 3,loud,learner,12,0.007692007,-0.076756371,-0.559334977,3.590722945,2.180584466,0.542,295.6107377,6,5,0,0
S06,4944,Tone 3,loud008_底-i-Tone_3.mp3,speaker008,底,i,Tone 3,loud,learner,10,0.01361973,-0.279186217,1.592242674,2.990855764,2.069232244,0.481,128.03104,6,5,0,1
S06,1674,Tone 3,loud007_底-i-Tone_3.mp3,speaker007,底,i,Tone 3,loud,learner,8,0.026350792,-0.478999168,0.51813997,2.486662038,2.027964219,0.523,241.17915730000001,6,5,0,1
S06,1928,Tone 3,loud008_雨-y-Tone_3.mp3,speaker008,雨,y,Tone 3,loud,learner,9,0.005364337,-0.085249935,1.739556746,4.044563818,2.542339654,0.417,141.4917697,6,5,0,1
S06,3206,Tone 2,loud006_雨-y-Tone_3.mp3,speaker006,雨,y,Tone 3,loud,learner,9,0.007692007,-0.076756371,-0.595814097,3.714580795,2.216829649,0.6,300.1250538,6,5,0,0
S06,1536,Tone 2,loud008_咳-e-Tone_2.mp3,speaker008,咳,e,Tone 2,loud,learner,8,0.01361973,-0.279186217,1.385862807,4.15481596,2.620179006,0.334,142.8702036,6,5,0,0
S06,2285,Tone 3,loud008_五-u-Tone_3.mp3,speaker008,五,u,Tone 3,loud,learner,12,0.005364337,-0.085249935,1.618878565,4.648964494,2.864499243,0.479,152.1086035,6,5,0,1
S06,1135,Tone 2,loud007_拔-a-Tone_2.mp3,speaker007,拔,a,Tone 2,loud,learner,6,0.026350792,-0.478999168,0.620918977,3.072283158,1.896866994,0.403,222.417189,6,5,0,0
S06,2925,Tone 2,loud006_鱼-y-Tone_2.mp3,speaker006,鱼,y,Tone 2,loud,learner,1,0.007692007,-0.076756371,-0.520728645,5,2.142225713,0.617,337.0239616,6,5,0,0
S06,1912,Tone 2,loud008_拔-a-Tone_2.mp3,speaker008,拔,a,Tone 2,loud,learner,13,0.01361973,-0.279186217,1.564376607,2.255795584,2.143622829,0.354,145.986001,6,5,0,0
S06,2041,Tone 3,loud008_渴-e-Tone_3.mp3,speaker008,渴,e,Tone 3,loud,learner,9,0.005364337,-0.085249935,2.008825369,3.120412629,1.823506572,0.421,128.9195502,6,5,0,1
S06,1654,Tone 2,loud008_无-u-Tone_2.mp3,speaker008,无,u,Tone 2,loud,learner,1,0.005364337,-0.085249935,1.659860774,5,2.755094117,0.449,151.4347048,6,5,0,0
S06,1728,Tone 3,loud009_五-u-Tone_3.mp3,speaker009,五,u,Tone 3,loud,learner,13,0.00401111,0.00324491,0.255002857,3.644925498,1.321377681,0.544,263.9617608,6,5,0,1
S06,1282,Tone 2,loud007_无-u-Tone_2.mp3,speaker007,无,u,Tone 2,loud,learner,1,0.026350792,-0.478999168,0.25671683,4.989957397,2.361416051,0.417,292.5915108,6,5,0,0
S06,2393,Tone 2,loud007_敌-i-Tone_2.mp3,speaker007,敌,i,Tone 2,loud,learner,10,0.026350792,-0.478999168,0.366873453,3.899269795,2.22090849,0.377,248.3487546,6,5,0,0
S06,1792,Tone 3,loud007_五-u-Tone_3.mp3,speaker007,五,u,Tone 3,loud,learner,10,0.01361973,-0.279186217,0.698071878,2.096180256,1.507279792,0.492,206.0618973,6,5,0,1
S06,1889,Tone 2,loud008_鱼-y-Tone_2.mp3,speaker008,鱼,y,Tone 2,loud,learner,12,0.005364337,-0.085249935,1.487226429,4.751297794,3.215954641,0.413,155.034475,6,5,0,0
S06,6370,Tone 3,loud007_把-a-Tone_3.mp3,speaker007,把,a,Tone 3,loud,learner,10,0.026350792,-0.478999168,1.078783646,2.643467232,1.312849019,0.484,204.1320785,6,5,0,1
S06,1217,Tone 3,loud008_把-a-Tone_3.mp3,speaker008,把,a,Tone 3,loud,learner,9,0.01361973,-0.279186217,1.598222124,3.465503286,2.053269645,0.469,133.4727723,6,5,0,1
S06,5986,Tone 2,loud007_鱼-y-Tone_2.mp3,speaker007,鱼,y,Tone 2,loud,learner,1,0.01361973,-0.279186217,0.240058843,4.962838314,2.091487011,0.431,276.8769226,6,5,0,0
S06,1424,Tone 2,loud011_敌-i-Tone_2.mp3,speaker011,敌,i,Tone 2,loud,learner,7,0.007531449,-0.082714379,0.865281458,3.442952671,1.994273186,0.337,229.1950221,6,5,0,0
S06,1884,Tone 3,loud011_底-i-Tone_3.mp3,speaker011,底,i,Tone 3,loud,learner,12,0.007531449,-0.082714379,1.137913088,3.798157881,1.65901055,0.556,234.3665387,6,5,0,1
S06,1863,Tone 2,loud009_咳-e-Tone_2.mp3,speaker009,咳,e,Tone 2,loud,learner,9,0.00401111,0.00324491,-0.234027138,3.977042314,1.916061473,0.301,286.8518596,6,5,0,0
S06,1607,Tone 2,loud009_无-u-Tone_2.mp3,speaker009,无,u,Tone 2,loud,learner,6,0.00401111,0.00324491,-0.415148493,4.772247047,2.136313677,0.403,327.1131729,6,5,0,0
S06,2291,Tone 2,loud013_无-u-Tone_2.mp3,speaker013,无,u,Tone 2,loud,learner,1,0.005542185,-0.093890355,1.034353544,4.4234999759999996,1.702908571,0.433,173.7688137,6,5,0,0
S06,2718,Tone 3,loud011_把-a-Tone_3.mp3,speaker011,把,a,Tone 3,loud,learner,12,0.007531449,-0.082714379,1.495100551,3.017685849,1.219767275,0.507,204.4502359,6,5,0,1
S06,3803,Tone 3,loud011_渴-e-Tone_3.mp3,speaker011,渴,e,Tone 3,loud,learner,11,0.007531449,-0.082714379,1.32552869,3.616201025,1.42829447,0.466,224.2481295,6,5,0,1
S06,1800,Tone 2,loud009_鱼-y-Tone_2.mp3,speaker009,鱼,y,Tone 2,loud,learner,1,0.00401111,0.00324491,-0.339432007,4.997279411,2.044238819,0.452,324.0186602,6,5,0,0
S06,2989,Tone 3,loud013_把-a-Tone_3.mp3,speaker013,把,a,Tone 3,loud,learner,9,0.011498732,-0.204874096,1.707473558,1.829410989,1.094871986,0.594,145.1621572,6,5,0,1
S06,2785,Tone 3,loud013_底-i-Tone_3.mp3,speaker013,底,i,Tone 3,loud,learner,10,0.011498732,-0.204874096,1.742696645,1.028365947,1.028365947,0.671,139.8979969,6,5,0,1
S06,1866,Tone 3,loud009_把-a-Tone_3.mp3,speaker009,把,a,Tone 3,loud,learner,12,0.00401111,0.00324491,0.383577312,3.30188594,1.165025013,0.529,249.5574145,6,5,0,1
S06,1696,Tone 2,loud009_敌-i-Tone_2.mp3,speaker009,敌,i,Tone 2,loud,learner,6,0.00401111,0.00324491,-0.396498378,4.154012756,2.113634247,0.446,311.4401738,6,5,0,0
